"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Glud1",2.19936367821761e-18,-0.506813408917413,0.453,0.643,6.15777842627366e-14,"pDC","Glud1"
"Stap1.3",2.28017652717182e-18,0.383807944813259,0.582,0.361,6.38403824077567e-14,"pDC","Stap1"
"Tbc1d10c.1",2.32941442295555e-18,0.288183604996681,0.306,0.144,6.52189450139094e-14,"pDC","Tbc1d10c"
"Nhp2l1.2",2.51005019646482e-18,0.387196189211596,0.797,0.643,7.0276385400622e-14,"pDC","Nhp2l1"
"Slc7a5",2.51213789836565e-18,0.310730637812382,0.291,0.133,7.03348368784414e-14,"pDC","Slc7a5"
"Jun.2",2.55236806366558e-18,0.774157893180179,0.721,0.537,7.14612010465089e-14,"pDC","Jun"
"Myo1g.4",2.74135037268549e-18,-0.814809865601212,0.559,0.708,7.67523277344485e-14,"pDC","Myo1g"
"Ube2j1",2.85210358869261e-18,0.397822977471913,0.562,0.373,7.98531962762157e-14,"pDC","Ube2j1"
"Rsbn1l",3.0606945609177e-18,0.374469210256367,0.538,0.344,8.56933263165736e-14,"pDC","Rsbn1l"
"Rap2b.5",3.2755992320966e-18,-0.659500069905795,0.1,0.318,9.17102273002407e-14,"pDC","Rap2b"
"Tuba4a",3.68321253591082e-18,0.378280689252177,0.356,0.184,1.03122584580431e-13,"pDC","Tuba4a"
"Atpif1.2",4.32583565668867e-18,-0.502420553810306,0.774,0.85,1.21114746715969e-13,"pDC","Atpif1"
"Acbd6",4.34896105839039e-18,0.371687642241784,0.479,0.299,1.21762211712814e-13,"pDC","Acbd6"
"Trmt112.3",4.67017808222922e-18,0.376797655295931,0.779,0.624,1.30755645946254e-13,"pDC","Trmt112"
"Nfkbib.4",4.8051951639819e-18,-0.616815325085254,0.538,0.708,1.34535854201165e-13,"pDC","Nfkbib"
"Zfp36l1.5",5.00685873179852e-18,0.323587447675103,0.812,0.606,1.40182030772895e-13,"pDC","Zfp36l1"
"Atf7ip",5.2605708477643e-18,0.414061434365836,0.418,0.236,1.47285462595705e-13,"pDC","Atf7ip"
"Limd2.4",6.75152528318731e-18,0.327002395465744,0.868,0.664,1.89029204878678e-13,"pDC","Limd2"
"Aprt.3",6.86946017320858e-18,-0.598346865735841,0.282,0.5,1.92331145929494e-13,"pDC","Aprt"
"Ccdc88a.4",7.16567713540486e-18,-0.661767287751995,0.265,0.477,2.00624628437065e-13,"pDC","Ccdc88a"
"Eif1ad",7.42833803597686e-18,0.356767157572549,0.482,0.294,2.0797860833128e-13,"pDC","Eif1ad"
"Arhgef6",7.72635114476359e-18,0.341597039456058,0.394,0.216,2.16322379351091e-13,"pDC","Arhgef6"
"Dctpp1.3",8.0304351468199e-18,0.296835347677191,0.471,0.268,2.24836123240664e-13,"pDC","Dctpp1"
"Spint1.3",9.21491163197567e-18,-0.472833368089635,0.079,0.287,2.57999095872055e-13,"pDC","Spint1"
"Tns3.3",1.01675837201944e-17,-0.450202005491818,0.097,0.308,2.84672008998003e-13,"pDC","Tns3"
"Junb.2",1.12298042555109e-17,-0.483061570194907,0.924,0.969,3.14412059545793e-13,"pDC","Junb"
